from_node,to_node,distance,travel_time,highway,max_speed_mps,highway_group,peak_cv,offpeak_cv,hr_0,hr_1,hr_2,hr_3,hr_4,hr_5,hr_6,hr_7,hr_8,hr_9,hr_10,hr_11,hr_12,hr_13,hr_14,hr_15,hr_16,hr_17,hr_18,hr_19,hr_20,hr_21,hr_22,hr_23,from_lat,from_lon,from_h3_id,to_lat,to_lon,to_h3_id,mid_lat,mid_lon,mid_h3_id,same_origin_dest_hex
3729,3726,19.10333379,2.106497028,residential,11.2146809,group_3,0.988665755,0.8,2.555132949,2.555132949,2.555132949,2.555132949,2.555132949,2.555132949,2.555132949,2.555132949,5.563239867,5.563239867,2.555132949,5.2983236835,2.555132949,2.555132949,5.563239867,2.555132949,5.2983236835,2.555132949,2.555132949,2.555132949,2.555132949,2.555132949,2.555132949,2.555132949,37.3523697,-121.9992575,872834701ffffff,37.3521979,-121.9992572,872834701ffffff,37.3522838,-121.99925735,872834701ffffff,True
3727,3726,27.24548154,2.183311804,primary,16.87712414,group_2,0.397907306,0.6,2.421515772,2.421515772,2.421515772,2.421515772,2.421515772,2.421515772,2.421515772,2.421515772,2.421515772,5.272317860999999,5.272317860999999,5.272317860999999,5.272317860999999,2.421515772,2.421515772,2.421515772,5.272317860999999,5.7995496465,5.272317860999999,2.421515772,2.421515772,2.421515772,2.421515772,2.421515772,37.3522017,-121.998949,872834701ffffff,37.3521979,-121.9992572,872834701ffffff,37.3521998,-121.9991031,872834701ffffff,True
3622,3727,119.6334465,10.25161142,primary,16.87712414,group_2,0.397907306,0.6,10.63274574,10.63274574,10.63274574,10.63274574,10.63274574,10.63274574,10.63274574,22.048061565,10.63274574,23.15046465,23.15046465,23.15046465,23.15046465,23.15046465,10.63274574,10.63274574,23.15046465,25.465511115,23.15046465,10.63274574,10.63274574,10.63274574,10.63274574,10.63274574,37.3522074,-121.9975956,872834701ffffff,37.3522017,-121.998949,872834701ffffff,37.35220455,-121.9982723,872834701ffffff,True
2543,3728,121.3885258,10.91810204,primary,16.87712414,group_2,0.397907306,0.6,10.788733146,10.788733146,10.788733146,10.788733146,10.788733146,10.788733146,10.788733146,22.37151705,22.37151705,22.37151705,23.49009291,22.37151705,23.49009291,10.788733146,23.49009291,23.49009291,23.49009291,22.37151705,23.49009291,10.788733146,10.788733146,10.788733146,10.788733146,10.788733146,37.3523412,-122.0010032,872834701ffffff,37.3523636,-121.9996302,872834701ffffff,37.3523524,-122.0003167,872834701ffffff,True
2546,3729,10.6544721,0.93278711,primary,16.87712414,group_2,0.397907306,0.6,0.94694499,0.94694499,0.94694499,0.94694499,0.94694499,0.94694499,0.94694499,1.963585131,0.94694499,2.061764388,2.061764388,1.963585131,2.061764388,0.94694499,2.061764388,2.061764388,2.061764388,1.963585131,2.061764388,0.94694499,0.94694499,0.94694499,0.94694499,0.94694499,37.3523673,-121.999378,872834701ffffff,37.3523697,-121.9992575,872834701ffffff,37.3523685,-121.99931775,872834701ffffff,True
3731,3729,24.05322203,2.547104578,residential,11.2146809,group_3,0.988665755,0.8,3.2171965800000004,3.2171965800000004,3.2171965800000004,3.2171965800000004,3.2171965800000004,3.2171965800000004,3.2171965800000004,3.2171965800000004,7.00473777,7.00473777,3.2171965800000004,6.671178828,3.2171965800000004,3.2171965800000004,3.2171965800000004,3.2171965800000004,6.671178828,3.2171965800000004,3.2171965800000004,3.2171965800000004,3.2171965800000004,3.2171965800000004,3.2171965800000004,3.2171965800000004,37.352586,-121.9992583,872834701ffffff,37.3523697,-121.9992575,872834701ffffff,37.35247785,-121.9992579,872834701ffffff,True
3729,3730,26.44294789,2.315050498,primary,16.87712414,group_2,0.397907306,0.6,2.350188426,2.350188426,2.350188426,2.350188426,2.350188426,2.350188426,2.350188426,4.8733507215000005,2.350188426,5.1170182575,5.1170182575,4.8733507215000005,5.1170182575,2.350188426,5.1170182575,5.1170182575,5.1170182575,4.8733507215000005,5.1170182575,2.350188426,2.350188426,2.350188426,2.350188426,2.350188426,37.3523697,-121.9992575,872834701ffffff,37.3523744,-121.9989584,872834701ffffff,37.35237205,-121.99910795,872834701ffffff,True
3731,3730,35.51542176,3.565553655,primary_link,11.96245926,group_2,0.397907306,0.6,4.453359588,4.453359588,4.453359588,4.453359588,4.453359588,4.453359588,4.453359588,9.2344864425,4.453359588,9.696210765,4.453359588,4.453359588,9.696210765,4.453359588,4.453359588,4.453359588,4.453359588,10.6658318415,4.453359588,4.453359588,4.453359588,4.453359588,4.453359588,4.453359588,37.352586,-121.9992583,872834701ffffff,37.3523744,-121.9989584,872834701ffffff,37.3524802,-121.99910835,872834701ffffff,True
2630,3731,81.86009829,9.777398217,residential,11.2146809,group_3,0.988665755,0.8,10.9490540595,10.9490540595,10.9490540595,10.9490540595,10.9490540595,10.9490540595,10.9490540595,22.703958495,23.839156425,23.839156425,10.9490540595,22.703958495,23.839156425,10.9490540595,10.9490540595,10.9490540595,22.703958495,26.22307206,10.9490540595,10.9490540595,10.9490540595,10.9490540595,10.9490540595,10.9490540595,37.353304,-121.9993272,872834701ffffff,37.352586,-121.9992583,872834701ffffff,37.352945000000005,-121.99929275,872834701ffffff,True
2546,3732,24.93102453,2.431564702,residential,11.2146809,group_3,0.988665755,0.8,3.3346055175,3.3346055175,3.3346055175,3.3346055175,3.3346055175,3.3346055175,3.3346055175,3.3346055175,3.3346055175,6.9146380005,3.3346055175,3.3346055175,7.260369900000001,3.3346055175,3.3346055175,3.3346055175,3.3346055175,3.3346055175,3.3346055175,3.3346055175,3.3346055175,3.3346055175,3.3346055175,3.3346055175,37.3523673,-121.999378,872834701ffffff,37.3525914,-121.9993868,872834701ffffff,37.35247935,-121.9993824,872834701ffffff,True
