from_node,to_node,distance,travel_time,highway,max_speed_mps,highway_group,peak_cv,offpeak_cv,hr_0,hr_1,hr_2,hr_3,hr_4,hr_5,hr_6,hr_7,hr_8,hr_9,hr_10,hr_11,hr_12,hr_13,hr_14,hr_15,hr_16,hr_17,hr_18,hr_19,hr_20,hr_21,hr_22,hr_23
41,106,205.9274822,21.10678674,secondary,15.28876023,group_2,0.6,0.25,13.46920738,13.46920738,13.46920738,13.46920738,13.46920738,13.46920738,13.46920738,29.32623585,29.32623585,27.92974843,27.92974843,27.92974843,27.92974843,29.32623585,27.92974843,29.32623585,29.32623585,30.72272328,27.92974843,13.46920738,13.46920738,13.46920738,13.46920738,13.46920738
42,3037,78.84028071,4.031529585,trunk,21.02392057,group_2,0.6,0.25,3.750027519,3.750027519,3.750027519,3.750027519,3.750027519,3.750027519,3.750027519,3.750027519,3.750027519,3.750027519,3.750027519,3.750027519,3.750027519,3.750027519,7.776057064,3.750027519,3.750027519,6.480047554,3.750027519,3.750027519,3.750027519,3.750027519,3.750027519,3.750027519
43,3785,133.4349246,8.146082799,primary,16.87712414,group_2,0.6,0.25,7.906259592,7.906259592,7.906259592,7.906259592,7.906259592,7.906259592,7.906259592,7.906259592,7.906259592,7.906259592,7.906259592,7.906259592,7.906259592,7.906259592,7.906259592,13.66201657,7.906259592,7.906259592,7.906259592,7.906259592,7.906259592,7.906259592,7.906259592,7.906259592
44,2574,180.9414023,11.04631077,primary,16.87712414,group_2,0.6,0.25,10.72110395,10.72110395,10.72110395,10.72110395,10.72110395,10.72110395,10.72110395,10.72110395,10.72110395,10.72110395,10.72110395,10.72110395,10.72110395,10.72110395,10.72110395,18.52606763,10.72110395,10.72110395,10.72110395,10.72110395,10.72110395,10.72110395,10.72110395,10.72110395
45,3329,354.0884558,28.28739955,motorway_link,19.67495814,group_1,0.5,0.01,17.99691025,17.99691025,17.99691025,17.99691025,17.99691025,17.99691025,17.99691025,37.31839309,37.31839309,39.18431274,37.31839309,37.31839309,39.18431274,37.31839309,39.18431274,39.18431274,39.18431274,43.10274402,37.31839309,17.99691025,17.99691025,17.99691025,17.99691025,17.99691025
46,2738,650.9610806,23.2553427,motorway,28.84098113,group_1,0.5,0.01,22.57069819,22.57069819,22.57069819,22.57069819,22.57069819,22.57069819,22.57069819,39.00216647,22.57069819,22.57069819,22.57069819,22.57069819,22.57069819,22.57069819,22.57069819,22.57069819,22.57069819,22.57069819,22.57069819,22.57069819,22.57069819,22.57069819,22.57069819,22.57069819
47,3385,305.2274014,15.98407294,motorway_link,19.67495814,group_1,0.5,0.01,15.51349686,15.51349686,15.51349686,15.51349686,15.51349686,15.51349686,15.51349686,26.80732258,15.51349686,15.51349686,15.51349686,15.51349686,15.51349686,15.51349686,15.51349686,15.51349686,15.51349686,15.51349686,15.51349686,15.51349686,15.51349686,15.51349686,15.51349686,15.51349686
48,2672,20.39201609,2.692741578,residential,11.2146809,group_3,0.05,0.01,1.818332262,1.818332262,1.818332262,1.818332262,1.818332262,1.818332262,1.818332262,1.818332262,3.959018468,1.818332262,3.959018468,3.142078149,3.959018468,3.959018468,3.959018468,3.959018468,3.959018468,4.354920314,3.959018468,1.818332262,1.818332262,1.818332262,1.818332262,1.818332262
48,1343,73.75740727,8.358489913,residential,11.2146809,group_3,0.05,0.01,6.576861877,6.576861877,6.576861877,6.576861877,6.576861877,6.576861877,6.576861877,6.576861877,6.576861877,6.576861877,6.576861877,6.576861877,14.31966983,11.36481732,14.31966983,13.63778079,14.31966983,9.470681103,11.36481732,6.576861877,6.576861877,6.576861877,6.576861877,6.576861877
48,2734,252.1825724,25.9973976,secondary,15.28876023,group_2,0.6,0.25,16.49463845,16.49463845,16.49463845,16.49463845,16.49463845,16.49463845,16.49463845,35.91344641,34.2032823,35.91344641,34.2032823,34.2032823,35.91344641,34.2032823,35.91344641,35.91344641,35.91344641,39.50479105,34.2032823,16.49463845,16.49463845,16.49463845,16.49463845,16.49463845
