node_index,is_stop_only,pos_x,pos_y,osmid,y,x
99,FALSE,591622.7845,4131646.143,35854982,37.3269655,-121.9658235
100,FALSE,591791.739,4131227.875,35854997,37.3231792,-121.9639685
101,FALSE,583275.1324,4133947.463,49067107,37.3484926,-122.0597755
102,FALSE,583068.7547,4134720.064,49067139,37.3554743,-122.0620187
103,FALSE,583528.1062,4132133.979,49071606,37.3321255,-122.057124
104,FALSE,583681.3875,4132140.67,49071638,37.332172,-122.0553932
105,FALSE,585639.7337,4135726.416,60006480,37.3643104,-122.0328755
106,FALSE,585684.0568,4135783.68,60006481,37.3648224,-122.0323684
107,FALSE,585651.799,4135735.627,60006482,37.3643923,-122.0327382
108,FALSE,590020.2061,4138333.814,60434555,37.3873946,-121.9830968
109,FALSE,590091.6683,4138332.598,60434557,37.3873767,-121.9822898
110,FALSE,584566.2901,4132190.296,65377483,37.3325391,-122.0453999
111,FALSE,584564.9416,4132287.801,65377487,37.333418,-122.045404
112,FALSE,592256.8398,4133801.186,65377501,37.3463249,-121.9583996
113,FALSE,593856.0071,4132866.541,65377516,37.3377412,-121.9404658
114,FALSE,592996.1767,4132532.299,65377547,37.3348154,-121.9502128
115,FALSE,593005.1764,4131722.404,65377628,37.3275154,-121.9502128
116,FALSE,592800.9358,4131703.982,65377638,37.3273698,-121.9525201
117,FALSE,592459.6127,4131660.337,65377662,37.3270105,-121.9563776
118,FALSE,592361.5535,4131658.412,65377665,37.3270029,-121.9574845
119,FALSE,592256.2499,4131658.549,65377669,37.3270146,-121.9586729
120,FALSE,592149.2448,4131657.902,65377671,37.3270194,-121.9598806
121,FALSE,593360.3704,4131665.198,65377785,37.3269642,-121.9462114
122,FALSE,593112.4683,4131662.97,65377791,37.326969,-121.9490094
123,FALSE,593008.0896,4131658.791,65377793,37.3269418,-121.9501879
124,FALSE,586537.9847,4131547.27,65377889,37.3265621,-122.023221
125,FALSE,586458.1208,4131546.645,65377895,37.3265639,-122.0241224
126,FALSE,586227.2692,4131543.587,65377907,37.3265578,-122.0267281
127,FALSE,586148.1004,4131542.583,65377911,37.3265561,-122.0276217
128,FALSE,588024.5137,4131002.93,65377938,37.3215165,-122.006509
129,FALSE,587930.8511,4131002.767,65377940,37.3215239,-122.007566
130,FALSE,583340.5296,4132506.98,65381191,37.3355041,-122.0591992
131,FALSE,585639.6123,4139674.151,65381269,37.3998896,-122.0324198
132,FALSE,583441.8511,4132690.532,65381646,37.3371493,-122.0580349
133,FALSE,579107.6017,4134436.045,65382961,37.3532607,-122.1067718
134,FALSE,585707.7176,4132478.542,65383026,37.3350323,-122.0324836
135,FALSE,585897.9613,4137634.051,65383893,37.3814792,-122.0297383
136,FALSE,582495.2913,4138654.786,65385555,37.3909878,-122.0680546
137,FALSE,585328.2056,4132542.734,65385699,37.3356458,-122.0367598
138,FALSE,587732.9432,4139120.329,65386173,37.3947024,-122.0088377
139,FALSE,595705.6718,4134241.898,65386530,37.3499475,-121.9194108
140,FALSE,589051.3633,4130382.636,65387070,37.3158282,-121.9949955
141,FALSE,585674.835,4137159.119,65387494,37.3772195,-122.0323133
142,FALSE,585651.0273,4137073.35,65387496,37.3764487,-122.0325921
143,FALSE,588824.2922,4134416.758,65387885,37.3522076,-121.9970745
144,FALSE,587367.0237,4137261.613,65388287,37.3779853,-122.0131907
145,FALSE,583901.3031,4131983.995,65388736,37.3307401,-122.0529288
146,FALSE,590895.2206,4130641.815,65388877,37.3179855,-121.9741576
147,FALSE,579008.0076,4134374.379,65389036,37.3527134,-122.1079028
148,FALSE,595139.1197,4133441.01,65390120,37.3427879,-121.9259094
149,FALSE,594120.98,4135068.457,65390508,37.3575588,-121.9371953
150,FALSE,594038.8213,4135120.293,65390510,37.3580343,-121.9381163
151,FALSE,593823.7655,4135050.237,65390529,37.3574247,-121.9405532
152,FALSE,593740.1072,4134976.853,65390531,37.3567718,-121.941507
153,FALSE,594238.2546,4132530.716,65390602,37.3346759,-121.936194
154,FALSE,594187.2297,4132631.491,65390608,37.3355893,-121.9367571
155,FALSE,594352.3568,4132643.581,65390614,37.3356815,-121.9348918
156,FALSE,594243.766,4132468.519,65390685,37.3341148,-121.9361397
157,FALSE,582286.2507,4139931.528,65391443,37.4025132,-122.0702737
158,FALSE,582215.8785,4139926.286,65391446,37.4024722,-122.0710693
159,FALSE,587389.3793,4139209.841,65391616,37.3955416,-122.012708
160,FALSE,583445.4712,4132730.856,65393371,37.3375124,-122.0579895
161,FALSE,582862.5131,4140430.715,65393469,37.4069608,-122.0637075
162,FALSE,590799.8853,4130499.577,65393612,37.3167129,-121.9752508
163,FALSE,583551.9035,4140248.563,65393813,37.4052572,-122.0559394
164,FALSE,583040.5086,4134341.017,65394528,37.3520606,-122.0623801
165,FALSE,582253.4753,4139881.886,65394577,37.4020687,-122.0706495
166,FALSE,593670.528,4134886.33,65395482,37.355963,-121.942304
167,FALSE,593549.8126,4134673.08,65395494,37.3540533,-121.9436938
168,FALSE,591706.9634,4137694.734,65396376,37.3814696,-121.9641246
169,FALSE,595300.5765,4133654.059,65397622,37.3446914,-121.9240595
170,FALSE,595052.8822,4133461.578,65397643,37.3429821,-121.9268802
171,FALSE,582856.665,4130037.905,65398688,37.3132943,-122.0649365
172,FALSE,584229.7799,4131122.336,65400205,37.3229445,-122.0493193
173,FALSE,588713.4955,4131185.813,65401373,37.3230992,-121.998712
174,FALSE,595994.4336,4133967.853,65402257,37.3474479,-121.9161865
175,FALSE,588716.1947,4129913.94,65403555,37.3116361,-121.9988336
176,FALSE,588747.9925,4129954.176,65403558,37.3119957,-121.99847
177,FALSE,591290.3025,4134381.465,65403826,37.3516502,-121.9692389
178,FALSE,583154.9726,4134339.525,65404310,37.3520369,-122.061088
179,FALSE,585415.254,4131683.886,65404759,37.3278973,-122.0358762
180,FALSE,588912.6448,4131190.522,65405663,37.3231226,-121.996464
