node_index,is_stop_only,pos_x,pos_y
239.0,False,586296.7507618046,4131878.2896973835
240.0,False,586223.8412167545,4131877.2165110963
241.0,False,589130.7228886299,4134643.9847739646
242.0,False,589155.6028397321,4135195.6403068467
243.0,False,589145.4967604598,4135276.2427922767
244.0,False,589122.8076375002,4135355.8012987664
245.0,False,589122.3929223374,4135498.554404644
246.0,False,582752.3412198258,4130815.215792995
247.0,False,582690.3949194268,4130853.470961938
248.0,False,582685.8979133932,4130998.365808871
249.0,False,582940.489266583,4130814.7807442485
250.0,False,582841.9805640936,4130811.8194083925
251.0,False,582773.0305740231,4130812.7130258167
252.0,False,587297.7416887858,4129305.3339008503
253.0,False,585137.369501562,4128747.2766643334
254.0,False,584957.5530410581,4128744.7079737764
255.0,False,588026.7259421889,4130893.6618993394
256.0,False,587934.6673672791,4130894.2146183727
257.0,False,584936.8563438418,4129839.9858459393
258.0,False,584824.1274470356,4131812.240902008
259.0,False,584760.464940144,4131812.328268877
260.0,False,586552.4831570499,4130380.4460980403
261.0,False,586472.7602194524,4130378.8235835196
262.0,False,586194.8392890298,4130375.56991112
263.0,False,586099.2995122919,4130378.0932229143
264.0,False,586013.4588453787,4130391.4355103103
265.0,False,585753.9530524869,4130370.943497391
266.0,False,583993.3017639451,4129149.5882416773
267.0,False,583994.7192055136,4129078.935727987
268.0,False,588022.3951153088,4131179.150574067
269.0,False,588028.0551276464,4130781.565950109
270.0,False,588030.4729632078,4130675.4952778337
271.0,False,588031.8335852094,4130566.3067410183
272.0,False,587991.6774266824,4130451.0896791765
273.0,False,587955.9451407744,4130394.6593657425
274.0,False,587940.4704944409,4130353.465360089
275.0,False,587936.2889119841,4130176.114002775
276.0,False,587930.4998667871,4129969.50897195
277.0,False,587927.9689458678,4129891.491577337
278.0,False,584171.523875663,4131802.0798953488
279.0,False,583918.2089414157,4129238.4977404317
280.0,False,594964.0676079441,4133488.353371554
281.0,False,587600.6323842668,4130194.80949301
