from_node,to_node,distance,travel_time,highway,highway_group
110,111,97.73003137,16.168851134999997,residential,group_4
111,916,99.95103611,17.048538315000002,residential,group_4
111,110,97.73003137,15.931083615000002,residential,group_4
111,1092,170.4718559,29.201619375,residential,group_4
112,1687,89.67603626,10.978859493,secondary,group_3
112,1686,132.4572957,13.686792168,secondary,group_3
113,2271,75.95765777,7.452303846,secondary,group_3
113,2470,77.9863075,8.5577710815,secondary,group_3
114,2272,204.6340761,21.21136461,secondary,group_3
115,1843,64.2949313,7.297056060000001,secondary,group_3
115,3953,31.17234754,3.2478616305,secondary,group_3
115,3954,33.09479917,4.6766595255,residential,group_4
117,118,97.87980789,13.091742256500002,residential,group_4
118,119,105.0875331,14.055798919499999,residential,group_4
119,120,106.7881421,14.283260889000001,residential,group_4
119,118,105.0875331,14.850025536,residential,group_4
120,119,106.7881421,15.090340304999998,residential,group_4
120,4000,295.720337,34.310129205,tertiary,group_3
121,122,247.408882,28.785735705,secondary,group_3
122,123,104.402815,12.1471461165,secondary,group_3
123,3953,32.69899973,3.8924004119999998,secondary,group_3
123,2457,167.8758105,21.57325059,secondary,group_3
124,125,79.70339386,13.050714072000002,residential,group_4
124,1874,50.28572125,8.3647824855,tertiary,group_3
124,1875,184.9975605,30.148769445,tertiary,group_3
125,2000,252.9645362,37.843151535000004,residential,group_4
125,124,79.70339386,13.6037180385,residential,group_4
125,686,79.46011636,13.0108795695,residential,group_4
126,240,334.3901963,63.148651244999996,residential,group_4
126,127,79.01501837,14.633411137500001,residential,group_4
127,2253,58.72139682,11.0569623735,residential,group_4
127,1181,153.9312675,28.919688569999998,residential,group_4
127,126,79.01501837,14.921764735499998,residential,group_4
128,255,109.5322977,18.15081264,tertiary,group_3
128,129,93.4719097,13.276832424,residential,group_4
128,2633,161.3423012,26.293708019999997,tertiary,group_3
129,128,93.4719097,14.957755969499999,residential,group_4
130,3387,345.2931007,27.95595693,motorway_link,group_1
130,3268,1013.065892,96.37779133500001,motorway_link,group_1
131,3939,114.7365402,6.6743088015000005,motorway,group_1
132,3271,224.0472338,21.940103925000003,motorway_link,group_1
133,147,117.0364566,11.92256262,secondary,group_3
134,2584,314.3819527,34.23322101,motorway_link,group_1
134,2637,147.7606227,18.75703728,primary,group_2
135,1201,88.09052762,10.2204583395,tertiary,group_3
136,3029,12.27819713,1.331871501,motorway_link,group_1
137,749,210.3361438,39.243779249999996,residential,group_4
138,200,853.6778709,49.65906867,motorway,group_1
139,3708,118.9357727,13.6354064775,primary,group_2
140,2706,47.82379598,6.792934125,residential,group_4
141,142,89.18349519,16.050020475,unclassified,group_4
142,1668,100.2800702,13.3889565345,secondary,group_3
