from_node,to_node,distance,travel_time,highway,max_speed_mps,highway_group,peak_cv,offpeak_cv,hr_0,hr_1,hr_2,hr_3,hr_4,hr_5,hr_6,hr_7,hr_8,hr_9,hr_10,hr_11,hr_12,hr_13,hr_14,hr_15,hr_16,hr_17,hr_18,hr_19,hr_20,hr_21,hr_22,hr_23,from_lat,from_lon,from_h3_id,to_lat,to_lon,to_h3_id,mid_lat,mid_lon,mid_h3_id,same_origin_dest_hex
17,4019,222.5444849,12.1950229,motorway,28.84098113,group_1,0.5,0.01,7.716259164,7.716259164,7.716259164,7.716259164,7.716259164,7.716259164,7.716259164,16.80045675,16.80045675,16.80045675,16.80045675,16.000435,16.000435,16.000435,16.80045675,16.80045675,16.000435,18.48050243,16.80045675,7.716259164,7.716259164,7.716259164,7.716259164,7.716259164,37.3780709,-122.0675449,872834772ffffff,37.3800653,-122.0677522,872834772ffffff,37.3790681,-122.06764855,872834772ffffff,True
18,2836,214.1808374,11.64266329,trunk,21.02392057,group_2,0.6,0.25,10.18748319,10.18748319,10.18748319,10.18748319,10.18748319,10.18748319,10.18748319,10.18748319,22.18100339,10.18748319,22.18100339,10.18748319,10.18748319,10.18748319,10.18748319,10.18748319,10.18748319,21.12476514,10.18748319,10.18748319,10.18748319,10.18748319,10.18748319,10.18748319,37.3841716,-122.0311957,872834708ffffff,37.3847426,-122.0335107,872834708ffffff,37.384457100000006,-122.03235319999999,872834708ffffff,True
19,20,68.56170713,3.726948126,trunk,21.02392057,group_2,0.6,0.25,3.261128527,3.261128527,3.261128527,3.261128527,3.261128527,3.261128527,3.261128527,3.261128527,7.100389919,3.261128527,7.100389919,3.261128527,3.261128527,3.261128527,3.261128527,3.261128527,3.261128527,6.762276114,3.261128527,3.261128527,3.261128527,3.261128527,3.261128527,3.261128527,37.3870143,-122.0443537,872834709ffffff,37.3869806,-122.0451271,872834709ffffff,37.386997449999996,-122.0447404,872834709ffffff,True
20,3895,267.0805951,14.51824298,trunk,21.02392057,group_2,0.6,0.25,12.70365316,12.70365316,12.70365316,12.70365316,12.70365316,12.70365316,12.70365316,12.70365316,27.65940996,12.70365316,27.65940996,12.70365316,12.70365316,12.70365316,12.70365316,12.70365316,12.70365316,26.3422952,12.70365316,12.70365316,12.70365316,12.70365316,12.70365316,12.70365316,37.3869806,-122.0451271,872834709ffffff,37.3862593,-122.0480072,872834709ffffff,37.38661995,-122.04656715,872834709ffffff,True
21,4063,86.9021125,4.723914833,trunk,21.02392057,group_2,0.6,0.25,4.133487481,4.133487481,4.133487481,4.133487481,4.133487481,4.133487481,4.133487481,4.133487481,8.999759623,4.133487481,8.999759623,4.133487481,4.133487481,4.133487481,4.133487481,4.133487481,4.133487481,8.571199641,4.133487481,4.133487481,4.133487481,4.133487481,4.133487481,4.133487481,37.3894618,-122.0623967,872834709ffffff,37.3897924,-122.063288,872834709ffffff,37.3896271,-122.06284235,872834709ffffff,True
22,2650,83.56143499,4.542318833,trunk,21.02392057,group_2,0.6,0.25,3.974588598,3.974588598,3.974588598,3.974588598,3.974588598,3.974588598,3.974588598,3.974588598,8.653792262,3.974588598,8.653792262,3.974588598,3.974588598,3.974588598,3.974588598,3.974588598,3.974588598,8.241706916,3.974588598,3.974588598,3.974588598,3.974588598,3.974588598,3.974588598,37.3914603,-122.0674461,872834772ffffff,37.3917914,-122.0682952,872834772ffffff,37.39162585,-122.06787065,872834772ffffff,True
23,24,17.44030793,1.093434609,primary,16.87712414,group_2,0.6,0.25,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,2.474928588,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,37.3691925,-122.0370566,87283470cffffff,37.3690399,-122.0371022,87283470cffffff,37.36911619999999,-122.03707940000001,87283470cffffff,True
23,2571,352.8930319,21.93523069,primary,16.87712414,group_2,0.6,0.25,20.90954768,20.90954768,20.90954768,20.90954768,20.90954768,20.90954768,20.90954768,20.90954768,20.90954768,20.90954768,20.90954768,20.90954768,45.52593997,20.90954768,20.90954768,20.90954768,20.90954768,20.90954768,20.90954768,20.90954768,20.90954768,20.90954768,20.90954768,20.90954768,37.3691925,-122.0370566,87283470cffffff,37.3701591,-122.0408599,87283470dffffff,37.369675799999996,-122.03895825000001,87283470dffffff,False
24,13,17.1956148,1.150090427,primary,16.87712414,group_2,0.6,0.25,1.018871145,1.018871145,1.018871145,1.018871145,1.018871145,1.018871145,1.018871145,1.760609338,1.018871145,1.018871145,1.018871145,0.849059287,1.018871145,1.018871145,2.112731206,1.760609338,1.760609338,1.018871145,1.018871145,1.018871145,1.018871145,1.018871145,1.018871145,1.018871145,37.3690399,-122.0371022,87283470cffffff,37.3689966,-122.0369154,87283470cffffff,37.369018249999996,-122.0370088,87283470cffffff,True
24,3840,511.7234601,32.08292789,primary,16.87712414,group_2,0.6,0.25,30.32053659,30.32053659,30.32053659,30.32053659,30.32053659,30.32053659,30.32053659,30.32053659,30.32053659,30.32053659,30.32053659,30.32053659,30.32053659,30.32053659,30.32053659,30.32053659,30.32053659,72.6179277,30.32053659,30.32053659,30.32053659,30.32053659,30.32053659,30.32053659,37.3690399,-122.0371022,87283470cffffff,37.365361,-122.0345822,87283470cffffff,37.36720045,-122.0358422,87283470cffffff,True
25,2525,389.9413971,15.45164585,motorway,28.84098113,group_1,0.5,0.01,13.52039292,13.52039292,13.52039292,13.52039292,13.52039292,13.52039292,13.52039292,13.52039292,29.4376811,13.52039292,13.52039292,13.52039292,13.52039292,29.4376811,28.03588676,13.52039292,13.52039292,13.52039292,13.52039292,13.52039292,13.52039292,13.52039292,13.52039292,13.52039292,37.3902556,-121.9924729,87283471dffffff,37.3914898,-121.9966041,87283470affffff,37.3908727,-121.9945385,87283470affffff,False
26,2651,722.559967,27.40289778,motorway,28.84098113,group_1,0.5,0.01,25.05323809,25.05323809,25.05323809,25.05323809,25.05323809,25.05323809,25.05323809,25.05323809,54.54791422,25.05323809,25.05323809,25.05323809,25.05323809,25.05323809,51.9503945,25.05323809,25.05323809,25.05323809,25.05323809,25.05323809,25.05323809,25.05323809,25.05323809,25.05323809,37.4015381,-122.0391316,87283470bffffff,37.4032531,-122.0470216,872834709ffffff,37.402395600000006,-122.0430766,872834709ffffff,False
