node_index,is_stop_only,pos_x,pos_y,osmid,lat,lon,h3_id
109,False,590091.6683,4138332.598,60434557,37.3873767,-121.9822898,87283471dffffff
110,False,584566.2901,4132190.296,65377483,37.3325391,-122.0453999,872834728ffffff
111,False,584564.9416,4132287.801,65377487,37.333418,-122.045404,872834728ffffff
112,False,592256.8398,4133801.186,65377501,37.3463249,-121.9583996,872834706ffffff
113,False,593856.0071,4132866.541,65377516,37.3377412,-121.9404658,872834706ffffff
114,False,592996.1767,4132532.299,65377547,37.3348154,-121.9502128,872834706ffffff
115,False,593005.1764,4131722.404,65377628,37.3275154,-121.9502128,872834706ffffff
116,False,592800.9358,4131703.982,65377638,37.3273698,-121.9525201,872834706ffffff
117,False,592459.6127,4131660.337,65377662,37.3270105,-121.9563776,872834706ffffff
118,False,592361.5535,4131658.412,65377665,37.3270029,-121.9574845,872834706ffffff
119,False,592256.2499,4131658.549,65377669,37.3270146,-121.9586729,872834706ffffff
120,False,592149.2448,4131657.902,65377671,37.3270194,-121.9598806,872834706ffffff
121,False,593360.3704,4131665.198,65377785,37.3269642,-121.9462114,872834706ffffff
122,False,593112.4683,4131662.97,65377791,37.326969,-121.9490094,872834706ffffff
123,False,593008.0896,4131658.791,65377793,37.3269418,-121.9501879,872834706ffffff
124,False,586537.9847,4131547.27,65377889,37.3265621,-122.023221,87283472effffff
125,False,586458.1208,4131546.645,65377895,37.3265639,-122.0241224,87283472effffff
126,False,586227.2692,4131543.587,65377907,37.3265578,-122.0267281,87283472effffff
127,False,586148.1004,4131542.583,65377911,37.3265561,-122.0276217,87283472effffff
128,False,588024.5137,4131002.93,65377938,37.3215165,-122.006509,872834705ffffff
129,False,587930.8511,4131002.767,65377940,37.3215239,-122.007566,872834705ffffff
130,False,583340.5296,4132506.98,65381191,37.3355041,-122.0591992,872834728ffffff
131,False,585639.6123,4139674.151,65381269,37.3998896,-122.0324198,87283470bffffff
132,False,583441.8511,4132690.532,65381646,37.3371493,-122.0580349,872834728ffffff
133,False,579107.6017,4134436.045,65382961,37.3532607,-122.1067718,872834774ffffff
134,False,585707.7176,4132478.542,65383026,37.3350323,-122.0324836,87283472affffff
135,False,585897.9613,4137634.051,65383893,37.3814792,-122.0297383,872834708ffffff
136,False,582495.2913,4138654.786,65385555,37.3909878,-122.0680546,872834772ffffff
137,False,585328.2056,4132542.734,65385699,37.3356458,-122.0367598,87283472affffff
138,False,587732.9432,4139120.329,65386173,37.3947024,-122.0088377,87283470affffff
139,False,595705.6718,4134241.898,65386530,37.3499475,-121.9194108,872834715ffffff
140,False,589051.3633,4130382.636,65387070,37.3158282,-121.9949955,872834723ffffff
141,False,585674.835,4137159.119,65387494,37.3772195,-122.0323133,872834708ffffff
142,False,585651.0273,4137073.35,65387496,37.3764487,-122.0325921,872834708ffffff
143,False,588824.2922,4134416.758,65387885,37.3522076,-121.9970745,872834701ffffff
144,False,587367.0237,4137261.613,65388287,37.3779853,-122.0131907,87283470effffff
145,False,583901.3031,4131983.995,65388736,37.3307401,-122.0529288,872834728ffffff
146,False,590895.2206,4130641.815,65388877,37.3179855,-121.9741576,872834704ffffff
147,False,579008.0076,4134374.379,65389036,37.3527134,-122.1079028,872834774ffffff
148,False,595139.1197,4133441.01,65390120,37.3427879,-121.9259094,872834715ffffff
149,False,594120.98,4135068.457,65390508,37.3575588,-121.9371953,872834715ffffff
150,False,594038.8213,4135120.293,65390510,37.3580343,-121.9381163,872834702ffffff
151,False,593823.7655,4135050.237,65390529,37.3574247,-121.9405532,872834702ffffff
152,False,593740.1072,4134976.853,65390531,37.3567718,-121.941507,872834702ffffff
