request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,rider_declined,decision_time,chosen_operator_id,operator_id,vehicle_id,vehicle_id_cancelled_rq,pickup_time,dropoff_time,fare,modal_state,initial_expected_wait_time,last_wait_time,diffusion_cancelled,diffusion_decision_time,max_diff_dec_time_reached,last_diffusion_state_value,no_show_stat,diffusion_state_values
55,BasicRequest_no_show,1,33360,33360,3157;-1;-1,2911;-1;-1,,,,,772.2617019508237,6136.709318085999,0:t_wait:1157.7853495508389;t_drive:1072.2617019508252;fare:613,True,,,,,,,,,0,,,False,,False,,False,[]
56,BasicRequest_no_show,1,33420,33420,2054;-1;-1,704;-1;-1,,,,,1783.0315403530235,15554.719094738004,0:t_wait:1212.5784168777973;t_drive:2083.031540353026;fare:1555,True,,,,,,,,,0,,,False,,False,,False,[]
60,BasicRequest_no_show,1,33720,33720,319;-1;-1,3475;-1;-1,,,,,746.5405325465167,4036.5639488589995,0:t_wait:1270.7757495354454;t_drive:1046.540532546518;fare:403,True,,,,,,,,,0,,,False,,False,,False,[]
47,BasicRequest_no_show,1,32700,32700,3178;-1;-1,1809;-1;-1,,,,,620.9938047576713,4666.23116433,0:t_wait:244.87745212594018;t_drive:920.9938047576725;fare:466,False,,0,0,6,,32944.87745212594,33745.81024923796,466,0,,244.87745212594018,False,32704.349999999937,False,81.07470093142067,False,[]
44,BasicRequest_no_show,2,32220,32220,1312;-1;-1,3044;-1;-1,,,,,930.8108138644756,8475.029561118,0:t_wait:442.2734568567539;t_drive:1230.8108138644748;fare:1695,False,,0,0,0,,32682.27013826322,33783.27978242941,1695,0,,442.2734568567539,False,32228.799999999872,False,81.65334878632059,False,[]
48,BasicRequest_no_show,1,32760,32760,3171;-1;-1,3562;-1;-1,,,,,624.4519727058894,3351.3290403400006,0:t_wait:499.9817904278243;t_drive:924.4519727058869;fare:335,False,,0,0,3,,33299.312316040996,33783.36656986379,335,0,,499.9817904278243,False,32767.399999999892,False,80.94762792775833,False,[]
46,BasicRequest_no_show,1,32580,32580,2385;-1;-1,2098;-1;-1,,,,,611.8686305230406,5564.666749008,0:t_wait:484.5303846416791;t_drive:911.868630523044;fare:556,False,,0,0,11,,33064.53038464169,33821.90782383334,556,0,,484.5303846416791,False,32587.149999999896,False,82.68367962200888,False,[]
49,BasicRequest_no_show,1,32880,32880,748;-1;-1,4068;-1;-1,,,,,656.6614750513111,4179.37047767,0:t_wait:407.8658221945443;t_drive:956.6614750513108;fare:417,False,,0,0,9,,33275.60184959841,33859.1256007539,417,0,,407.8658221945443,False,32886.20000000036,False,80.16749939829546,False,[]
51,BasicRequest_no_show,1,33000,33000,1014;-1;-1,3562;-1;-1,,,,,434.69448584690247,2864.4817827999996,0:t_wait:627.20354570153;t_drive:734.6944858468996;fare:286,False,,0,0,10,,33546.35502667191,34097.36462326285,286,0,,627.20354570153,False,33005.750000000335,False,81.14546177917325,False,[]
54,BasicRequest_no_show,1,33120,33120,3752;-1;-1,1610;-1;-1,,,,,670.5685479875904,4511.31359744,0:t_wait:312.1038761713862;t_drive:970.5685479875901;fare:451,False,,0,0,5,,33432.10387617139,34136.900962507745,451,0,,312.1038761713862,False,33128.20000000048,False,82.79499811424598,False,[]
64,BasicRequest_no_show,1,34380,34380,1994;-1;-1,3475;-1;-1,,,,,261.2439720483558,1646.90193824,0:t_wait:1493.473895421339;t_drive:561.2439720483526;fare:164,True,,,,,,,,,0,,,False,,False,,False,[]
65,BasicRequest_no_show,1,34380,34380,4050;-1;-1,1587;-1;-1,,,,,1152.4978258639303,8741.896541106998,0:t_wait:1237.7373283272245;t_drive:1452.4978258639312;fare:874,False,34410,0,,,,,,874,0,,1237.7373283272245,True,34410,True,-62.97188516223632,False,[]
