from_node,to_node,distance,travel_time
250,251,68.81654297,5936096.513746481
251,246,20.79932893,1794144.5267346294
251,250,68.81654297,5936096.513746481
252,1066,131.6640815,5820547.208059109
252,1065,74.51265007,2365670.094940828
253,192,80.89731005,3501415.0996788666
253,254,179.4689803,14317637.952000353
254,253,179.4689803,7767815.729166863
254,2389,95.98549921,6319093.515752205
254,3654,35.29340196,2323500.0007190607
255,128,109.5322977,8811583.550356325
255,256,91.8754681,7097601.612353114
255,269,112.3516404,8892611.692487238
256,255,91.8754681,4941556.133623
257,1573,55.54752845,3656906.8218291285
257,1344,79.59559354,5327417.889961588
258,259,63.53292537,2749845.997288881
258,2175,78.68540141,3405678.785234324
258,2221,90.61710298,6864841.773143724
259,258,63.53292537,4496254.857860402
260,2192,63.77043727,3326382.542431601
260,2189,147.3223731,11660538.758644424
260,261,79.57683592,6401745.907474747
261,262,277.3734139,22313957.280411504
261,260,79.57683592,6298491.941225156
262,263,95.55637564,7687257.600183055
262,261,277.3734139,21954054.743630677
262,2170,155.3186263,9128305.940793607
262,2171,80.11835596,7310466.9339671265
263,262,95.55637564,7563269.574373649
263,2246,90.05917564,5427624.805484939
263,264,87.0974325,7006758.004998141
264,1815,347.6201901,29465642.311986025
264,3671,228.9682087,18419886.59150123
264,263,87.0974325,6893745.77911107
265,3424,22.89471673,1841819.3868491193
265,3672,30.18025008,1889883.8445289757
265,3671,35.04734055,2773990.564513951
266,1561,78.48830437,5935496.965066449
266,1624,78.57670223,6660467.566923138
267,266,70.82376458,3065409.6973538646
268,2633,15.2936218,1250175.4652116492
268,3195,130.6851433,8746895.891613578
268,4068,339.5074621,21259918.858300786
269,270,106.3326852,8278241.799800122
269,735,115.2235273,9939150.520719284
269,332,95.20363567,5737667.604062462
269,255,112.3516404,8892611.692487238
270,271,109.4384072,8520029.332401212
270,269,106.3326852,8278241.799800122
271,270,109.4384072,8520029.332401212
271,272,126.9168723,9880767.660875749
272,871,315.1625746,13640935.612740358
272,333,137.9356191,8313009.558774977
272,273,67.56111562,5259786.77482654
272,271,126.9168723,9880767.660875749
273,3718,22.44530141,1747417.851950975
273,3719,66.85184074,6099952.568241241
273,272,67.56111562,5347449.887740312
274,1927,85.84946121,3715755.1912643495
274,275,177.7958425,14072508.267570743
274,3718,22.05148794,1745371.2187439403
275,1767,81.87178097,6202326.090312989
275,276,207.1419432,16395246.744282076
275,274,177.7958425,14072508.267570743
276,1667,81.69937238,6067056.347178066
276,277,78.23093768,5955113.248243573
276,275,207.1419432,16395246.744282076
277,223,85.23237985,6488078.623033153
277,276,78.23093768,6191964.34334417
278,2121,53.62852039,4062713.272551064
278,1033,164.893225,12491746.720085846
279,1625,130.2264421,11687824.425197912
279,1624,90.48295446,7669687.915482961
280,2929,45.61106348,2856159.633513121
280,1653,68.98796821,3244246.8948359997
281,282,62.8742425,2721336.7407703777
281,1052,89.03646483,8124207.296359873
281,1793,90.1486896,3901835.3367226203
282,281,62.8742425,3695212.4490674026
283,284,52.53228093,2273713.6939551765
283,1538,68.92901873,4154166.9599694763
283,1537,90.61340307,7951830.374326196
284,283,52.53228093,3639154.557631724
285,1273,286.9378463,16863762.638856817
285,1300,79.74684767,5967033.130462568
285,1515,150.0049222,7841952.081733366
286,829,361.3624602,11472741.403805515
287,2946,50.67048163,1608715.338447952
287,1694,76.57139057,4564894.952545636
288,2342,81.82617646,3541618.49910194
288,717,121.3246772,5251201.263557781
289,846,237.1113112,21990100.533293806
290,347,28.6661594,2658547.682826169
290,291,146.3466926,6334209.616396977
290,1262,115.0798118,10844834.921415241
291,290,146.3466926,10357023.915706586
292,293,250.2558834,14707909.297627214
293,292,42.32918599,1832101.1032232675
293,1271,127.7992127,7510949.205529019
294,295,69.67866025,5278616.969712977
295,657,82.58697561,4441971.119319673
295,1925,82.72151906,6142961.722537886
295,294,69.67866025,3015847.0407129717
296,297,118.2579219,6950193.398093765
297,993,326.4975329,17560790.92361386
297,992,85.2634233,5906592.480632179
297,3738,200.8052239,11801620.722466096
297,296,118.2579219,5118465.287284292
298,299,49.68001165,4607407.571556487
299,298,49.68001165,2465632.7854556064
299,2749,103.8889684,9116835.106313854
299,2013,125.0769415,8851753.676987007
300,301,133.2902222,5769096.603934421
300,1369,133.0711596,8019841.637736848
301,300,133.2902222,8033043.953894386
302,969,64.58878016,4252127.095040911
302,1573,100.3459499,6716261.354753683
302,303,86.70051269,3752590.5880191433
303,304,124.8793004,5405053.244386286
303,302,86.70051269,3752590.5880191433
303,2690,83.76820521,3625673.813120475
304,303,124.8793004,5405053.244386286
305,814,98.10840427,5912730.211967171
305,2248,137.5505815,5953494.407965138
306,2185,80.71686729,3030474.5442356146
307,367,81.68106442,6310059.328488293
307,2912,55.43678452,2399427.054905716
308,557,211.1178838,9137650.506096274
308,556,75.91127021,5162347.652457733
309,310,95.7021462,4142201.2622257494
309,476,152.6397475,6606586.999294039
309,475,192.8230951,11620930.424037935
310,311,83.72300461,3623717.4307166734
310,309,95.7021462,4142201.2622257494
311,312,65.88969794,2851852.34402877
311,310,83.72300461,3623717.4307166734
312,1425,69.39448636,3003547.364298441
313,2962,458.3901485,26530021.297010306
313,319,402.0295151,23627870.65140347
313,314,219.4831586,9355056.128162382
314,313,219.4831586,9355056.128162382
315,316,105.2233153,7446703.258330275
315,583,743.4122747,32176532.97117246
315,582,162.8750212,8083532.56664904
316,317,63.14414833,4059444.019434755
316,315,105.2233153,5222262.380262931
316,2877,99.54082483,5999058.35409006
317,318,58.17706399,3740117.50459547
317,316,63.14414833,3805528.3468367187
318,317,58.17706399,3506175.504846627
318,1467,172.1321564,15706343.728315203
318,319,301.6228479,20894812.52662816
