operator_id,vehicle_id,vehicle_type,status,locked,earliest_start_time,start_time,end_time,first_attempt_time,no_show_wait_delay,start_pos,end_pos,driven_distance,start_soc,end_soc,charging_power,charging_unit,toll,rq_on_board,occupancy,rq_boarding,rq_alighting,route,trajectory
0,11,default_vehtype,route,False,-1000,61681.65723110647,62270.37843576874,61681.65723110647,0.0,3346;-1;-1,340;-1;-1,4936.022413809998,0.8034057594805606,0.8029121572391791,0.0,,0,370,1,,,3346;1978;1162;1943;2087;1366;2092;2093;3240;2094;1367;362;1165;368;3812;3853;3866;3867;464;2277;2276;1412;1687;2107;710;711;712;713;714;715;3287;3293;3296;3277;716;717;718;340,3346:61681.65723110647;1978:61734.29609143587;1162:61740.966156183225;1943:61751.6663792112;2087:61765.45145762587;1366:61779.77820815217;2092:61787.49765599253;2093:61821.418489314834;3240:61831.376561154866;2094:61835.42718886176;1367:61857.15314000543;362:61869.50637318547;1165:61879.872971989265;368:61897.79814010167;3812:61902.97225066589;3853:61905.527710182796;3866:61907.29297664973;3867:61908.40996635026;464:61916.24763653655;2277:61928.24015977025;2276:61934.43366846826;1412:61939.350870021204;1687:61958.898703864084;2107:61969.51309644737;710:61980.892301673994;711:62001.441155937486;712:62026.156864156095;713:62045.29910315585;714:62056.94462469383;715:62084.634088786726;3287:62105.58134137662;3293:62109.498167964346;3296:62111.12147660905;3277:62115.44234728027;716:62132.508760142686;717:62168.91147515917;718:62244.94976213907;340:62270.37843576874
0,8,default_vehtype,boarding,True,-1,62252.56889719078,62282.56889719078,62252.56889719078,0.0,1587;-1;-1,1587;-1;-1,0.0,0.7918049786174755,0.7918049786174755,0,,0,359,1,,359,,
0,11,default_vehtype,boarding,True,-1,62270.37843576874,62300.37843576874,62270.37843576874,0.0,340;-1;-1,340;-1;-1,0.0,0.8029121572391791,0.8029121572391791,0,,0,370,1,,370,,
0,7,default_vehtype,route,False,-1000,60597.503277612996,62347.16654087196,60597.503277612996,0.0,3562;-1;-1,1627;-1;-1,12579.716639499988,0.757226637068477,0.7559686654045268,0.0,,0,345,1,,,3562;328;3314;2716;2715;172;3771;3873;3178;2714;104;3270;3271;101;2680;2634;3058;3126;2745;2744;2743;3552;2774;3558;2773;2772;2771;3779;2770;2769;2619;2669;1482;2677;4074;2117;1828;3650;509;1766;1945;2829;2830;3918;3470;3469;83;15;3;2832;2562;2544;2543;2768;3725;2545;2546;3729;3730;2629;143;66;65;2767;2673;1962;2488;3609;1382;243;1381;1627,3562:60597.503277612996;328:60604.257421395014;3314:60698.774987263365;2716:60794.81998619121;2715:60833.70884447929;172:60842.76201289297;3771:60845.30559833716;3873:60853.18918691651;3178:60928.39414506739;2714:61113.86890317141;104:61130.313210980035;3270:61177.26148396259;3271:61196.512474975265;101:61247.50741301506;2680:61270.50969125527;2634:61277.75067979488;3058:61299.2742771186;3126:61324.28780531278;2745:61335.92391574092;2744:61351.48275528843;2743:61360.17051852939;3552:61400.681050676096;2774:61401.638388817984;3558:61403.14428710032;2773:61408.29212072381;2772:61431.39531813733;2771:61440.5894656779;3779:61443.420968445425;2770:61445.26251043619;2769:61454.26352707351;2619:61460.11745849776;2669:61477.652822078126;1482:61484.7893071124;2677:61486.143549846456;4074:61514.66514607836;2117:61524.91239494729;1828:61540.18457471327;3650:61541.687159999325;509:61552.058104938056;1766:61567.31022193307;1945:61572.50732438245;2829:61586.14879337098;2830:61594.23823384699;3918:61600.0525400096;3470:61609.82480083673;3469:61611.94502322348;83:61619.63741808909;15:61655.08105845836;3:61658.514478933284;2832:61721.897952647654;2562:61764.744458785746;2544:61798.40463422704;2543:61816.30653838236;2768:61819.379101888735;3725:61842.410272502595;2545:61847.70453236669;2546:61848.629815834385;3729:61850.9470348084;3730:61857.11811345723;2629:61891.374950219186;143:61898.8009104916;66:61905.481003524976;65:61911.23529977021;2767:61937.7710130585;2673:61975.49475164739;1962:62037.12077513317;2488:62048.17739276605;3609:62057.81633133458;1382:62058.32684231457;243:62318.87785154862;1381:62333.74716426574;1627:62347.16654087196
0,7,default_vehtype,boarding,True,-1,62347.16654087196,62377.16654087196,62347.16654087196,0.0,1627;-1;-1,1627;-1;-1,0.0,0.7559686654045268,0.7559686654045268,0,,0,345,1,,345,,
0,1,default_vehtype,boarding,True,61560,62236.01269294842,62396.00869114182,62236.01269294842,0.0,4068;-1;-1,4068;-1;-1,0.0,0.9843589521552091,0.9843589521552091,0.0,,0,377,1,377,,,
0,6,default_vehtype,route,False,-1000,61514.509854368014,62391.99464661727,61514.509854368014,0.0,3478;-1;-1,870;-1;-1,5249.584606253003,0.5613000093214685,0.5607750508608428,0.0,,0,362,1,,,3478;2430;849;579;848;847;846;862;861;868;867;430;429;2596;172;3771;428;427;3568;426;3474;425;3925;3665;338;2670;3666;3150;2675;3680;2687;423;422;2688;2906;2867;3684;3749;3750;4004;2632;870,3478:61514.509854368014;2430:61546.55184652907;849:61548.766229580964;579:61580.22702376896;848:61584.81655676861;847:61595.9435195012;846:61647.64688750295;862:61650.30421110128;861:61684.71477560616;868:61688.72204809235;867:61695.99496350864;430:61709.30185602474;429:61719.03566957794;2596:61756.674616962184;172:61779.053689058645;3771:61781.597274502834;428:61809.938615276114;427:61837.19333927613;3568:61890.05380925394;426:61893.765239707034;3474:61922.16998431927;425:61939.86179171503;3925:61955.45587152585;3665:61998.46146314398;338:62031.332165837266;2670:62033.90112045064;3666:62038.79464198532;3150:62065.20310241411;2675:62103.00556175318;3680:62104.78017604259;2687:62169.97743537659;423:62174.009449854886;422:62222.32522733083;2688:62224.27918445519;2906:62313.5081669962;2867:62325.10541649763;3684:62327.8278274874;3749:62341.733410506815;3750:62353.977991545486;4004:62374.213390021854;2632:62376.163087587374;870:62391.99464661727
0,6,default_vehtype,boarding,True,-1,62391.99464661727,62421.99464661727,62391.99464661727,0.0,870;-1;-1,870;-1;-1,0.0,0.5607750508608428,0.5607750508608428,0,,0,362,1,,362,,
0,4,default_vehtype,route,False,-1000,61098.17063164281,62466.36444383036,61098.17063164281,0.0,3541;-1;-1,2429;-1;-1,11684.903225940003,0.9870182831333045,0.9858497928107101,0.0,,0,357,2,,,3541;3537;3536;2541;3656;2548;2549;2547;65;66;143;3622;3727;3726;2545;2546;3728;2543;2544;2562;2561;2833;3401;2844;16;15;83;3469;3470;3918;2830;2829;1945;1766;509;3650;1828;2117;4074;2677;3102;3108;2678;3111;3349;2583;134;2637;2585;3267;103;104;2714;3053;2715;3054;3112;430;867;868;2289;1135;578;2429,3541:61098.17063164281;3537:61102.05961890734;3536:61103.64442663471;2541:61121.26747150999;3656:61126.12464622213;2548:61133.175895544584;2549:61134.1442834801;2547:61162.48407273031;65:61186.94418810495;66:61193.58436180097;143:61201.25777558955;3622:61205.25910695067;3727:61230.480545771454;3726:61234.46807984058;2545:61236.74174266961;2546:61237.66702613731;3728:61240.703225940786;2543:61258.53129918099;2544:61280.037500263184;2562:61323.168204906484;2561:61324.72115703355;2833:61362.383983521715;3401:61417.814376538816;2844:61426.709693522935;16:61467.332074914746;15:61489.04058070098;83:61496.96743061022;3469:61504.84832849594;3470:61509.42613998541;3918:61521.58340102802;2830:61531.11052488406;2829:61542.58697189041;1945:61549.35307388555;1766:61554.495422133645;509:61565.61335667098;3650:61571.544892163176;1828:61572.372660284746;2117:61591.15925831024;4074:61607.12084080618;2677:61656.264441916435;3102:61660.61485099243;3108:61782.31293849194;2678:61806.23331926729;3111:61909.18511318781;3349:61912.02872295849;2583:61949.262676629965;134:61954.036915089986;2637:61976.23216133189;2585:62059.88708103554;3267:62131.77258219073;103:62169.28894800837;104:62204.64531942314;2714:62242.53502902798;3053:62275.86094157282;2715:62322.81061445695;3054:62330.59231124824;3112:62351.90719851579;430:62368.83173019391;867:62390.52173579548;868:62398.306030509986;2289:62405.38837589084;1135:62417.919915029204;578:62458.06726445076;2429:62466.36444383036
0,4,default_vehtype,boarding,True,-1,62466.36444383036,62496.36444383036,62466.36444383036,0.0,2429;-1;-1,2429;-1;-1,0.0,0.9858497928107101,0.9858497928107101,0.0,,0,357,2,,357,,
