from_node,to_node,distance,travel_time
83,2118,151.4523185,36273986.81271226
83,15,91.59614087,22810508.30088637
83,3916,207.0609634,52410447.93731738
84,107,95.66282859,10236965.998496301
84,106,135.266589,33685913.20798347
85,3610,559.8246432,103045781.14408027
86,2576,131.6639121,10902721.58620086
86,87,99.79758839,11640991.026349137
87,2835,17.03029586,1986516.151801026
87,2576,54.47888766,11264016.762830883
88,2523,536.0006204,45576280.24141741
89,3086,144.1269493,16811834.339172024
90,1784,259.841945,30694705.88203637
91,6,412.0520593,35036899.987177044
92,5,782.0228614,99288980.97288659
93,2820,414.2165693,75014257.80886076
94,95,16.03652362,2904200.378244009
94,2810,170.9162125,37083135.65744754
95,2807,19.88802033,3798587.4813382067
95,2946,666.7955995,122735707.0635957
96,3277,119.7691339,21250957.327720866
96,3296,84.63577294,15578734.236565568
97,3132,69.25028662,12746759.126485296
98,643,22.9694041,5266755.948491229
98,99,62.20229161,10649218.737789629
99,3285,353.9047267,60589549.82980761
100,2909,17.05127189,1464770.4165334664
100,3176,29.2251578,6809248.6087702885
101,2680,396.3703278,71254977.4406971
101,102,806.6190184,108230667.80054829
102,3332,2272.145172,304872292.4611271
103,104,474.4826869,43554500.851481564
103,3267,693.8621749,94602791.94353014
104,3270,466.3087123,40659526.70220696
105,2837,600.2206776,137627245.7982343
106,107,61.82728964,15649477.775603501
106,41,205.9274822,51282843.332560584
107,105,15.17145734,3840138.9726860477
107,13,688.7951213,73708590.27237861
108,2856,775.5403958,48564719.11413529
109,25,954.9376735,81198613.15008654
110,111,97.73003137,33723530.02928987
111,916,99.95103611,33933639.062525176
111,110,97.73003137,31366509.11326423
111,1092,170.4718559,34115120.15205872
112,1687,89.67603626,23064545.714452457
112,1686,132.4572957,20917975.047892798
113,2271,75.95765777,8972754.435923964
113,2470,77.9863075,12509204.803193424
114,2272,204.6340761,24173090.213747103
115,1843,64.2949313,10575557.879054097
115,3953,31.17234754,3682338.6593264737
115,3954,33.09479917,7236964.530160209
117,118,97.87980789,15762774.953281255
118,119,105.0875331,16923522.540540863
119,120,106.7881421,17197392.26450111
119,118,105.0875331,22979887.140382387
120,119,106.7881421,23351765.70955724
120,4000,295.720337,41310227.0687048
121,122,247.408882,63633203.540810205
122,123,104.402815,26852251.72515136
123,3953,32.69899973,6760822.345774367
123,2457,167.8758105,43177413.58406631
