rq_time,start,end,request_id,number_passenger,no_show_status,pudo_boarding_duration,pudo_alighting_duration,no_show_status_backup
29381,2313,482,594,1,FALSE,28.72849416,30,FALSE
38141,3417,3350,595,1,FALSE,40.37330355,30,FALSE
41576,292,3350,596,1,FALSE,5.09253159,30,FALSE
33837,3350,292,597,1,FALSE,1.521434324,30,FALSE
40274,359,2404,598,1,FALSE,30.69091225,30,FALSE
56781,1587,1810,599,1,FALSE,196.5143814,30,FALSE
26542,1767,1587,600,1,FALSE,1.433437352,30,FALSE
60565,351,427,601,1,FALSE,11.29070129,30,FALSE
61867,1013,3427,602,1,FALSE,44.53372419,30,FALSE
43099,281,1793,603,1,FALSE,30.51579273,30,FALSE
32235,1047,3417,604,1,FALSE,13.85306682,30,FALSE
52533,3665,1014,605,1,FALSE,383.8669435,30,FALSE
31713,3568,2181,606,1,FALSE,103.7252654,30,FALSE
42549,2208,2404,607,1,FALSE,314.5499215,30,FALSE
65872,240,3450,608,1,TRUE,27.76689967,30,TRUE
67852,1965,1587,609,1,FALSE,145.1070564,30,FALSE
57646,2130,2513,610,1,FALSE,76.25558231,30,FALSE
40027,129,2734,611,1,FALSE,20.84988461,30,FALSE
54751,3805,1517,612,1,FALSE,20.78153266,30,FALSE
55665,2130,2513,613,1,FALSE,680.2943169,30,FALSE
43873,427,2181,614,1,FALSE,1.053571759,30,FALSE
54150,2445,3970,615,1,FALSE,3.579001823,30,FALSE
26188,1047,3417,616,1,FALSE,229.51305,30,FALSE
35605,359,2404,617,1,FALSE,26.71597113,30,FALSE
50038,3441,2170,618,1,FALSE,243.0435041,30,FALSE
33195,2030,236,619,1,FALSE,69.92213634,30,FALSE
33000,1517,3805,620,1,FALSE,56.96820016,30,FALSE
61197,2130,2513,621,1,FALSE,55.90739975,30,FALSE
67807,1965,1587,622,1,FALSE,40.18360588,30,FALSE
51299,1587,3873,623,1,FALSE,177.4099637,30,FALSE
60909,1810,1587,624,1,FALSE,165.1273426,30,FALSE
67954,746,1587,625,3,FALSE,243.0980934,30,FALSE
31831,1013,3427,626,1,FALSE,15.52937417,30,FALSE
46528,1282,430,627,2,FALSE,53.69667303,30,FALSE
44605,173,240,628,1,FALSE,6.811771601,30,FALSE
30218,281,1793,629,3,FALSE,107.3674687,30,FALSE
57335,571,3474,630,1,FALSE,51.96426402,30,FALSE
46192,3417,1047,631,1,FALSE,17.30360985,30,FALSE
47196,230,3802,632,1,FALSE,7.881073725,30,FALSE
32195,2311,2439,633,1,TRUE,114.7687535,30,TRUE
34289,425,571,634,1,FALSE,93.78033715,30,FALSE
64038,3805,3397,635,1,FALSE,77.3324385,30,FALSE
27953,578,2122,636,1,FALSE,60.58586657,30,FALSE
35827,129,2734,637,1,FALSE,32.73052116,30,FALSE
38762,1305,3196,638,1,FALSE,296.9899804,30,FALSE
48015,1276,3183,639,1,FALSE,72.05458658,30,FALSE
52010,1587,1767,640,1,FALSE,4.844439752,30,FALSE
48201,3450,240,641,2,FALSE,27.31098254,30,FALSE
30228,1013,3427,642,1,FALSE,265.9133455,30,FALSE
36706,3613,3771,643,2,FALSE,262.685138,30,FALSE
61297,427,2131,644,1,FALSE,4.809027125,30,FALSE
53936,240,3450,645,1,FALSE,14.96499935,30,FALSE
54204,3661,793,646,2,FALSE,24.2891448,30,FALSE
54549,735,3971,647,1,FALSE,65.43320015,30,FALSE
57571,1013,3427,648,1,FALSE,19.80759182,30,FALSE
29346,1206,2380,649,1,FALSE,82.72370796,30,FALSE
42880,2122,1037,650,1,FALSE,66.29418821,30,FALSE
50824,1135,3474,651,1,FALSE,1.575199738,30,FALSE
41518,2356,749,652,2,TRUE,366.8357213,30,TRUE
61296,3971,735,653,1,FALSE,307.5816623,30,FALSE
47770,735,3971,654,1,FALSE,485.8258776,30,FALSE
57524,427,2181,655,1,FALSE,28.90982912,30,FALSE
61414,1587,3119,656,1,FALSE,375.2066237,30,FALSE
48540,3661,793,657,1,FALSE,55.73132325,30,FALSE
